readout_gene,readout_class,replicate,assay,Drug,day,Concentration,bias,num_reads,cell_density,extra_umi
Adamtsl4,MAE,2,no-UMI,B2,07,10uM,0.84228474,3520,VG,
Adamtsl4,MAE,2,no-UMI,CTPB,07,10uM,0.766295707,630,VG,
Adamtsl4,MAE,2,no-UMI,Sirtinol,07,10uM,0.794202899,2070,VG,
Adamtsl4,MAE,2,no-UMI,Suramin6Na,07,10uM,0.851598882,3222,VG,
Adamtsl4,MAE,2,no-UMI,BML-278,07,10uM,0.793315743,1137,VG,
Adamtsl4,MAE,2,no-UMI,CI-994,07,10uM,0.923076923,39,DIFFUSE,
Adamtsl4,MAE,2,no-UMI,NSC-3852,07,10uM,0.833333333,6,M,
Adamtsl4,MAE,2,no-UMI,Aminoresveratrol_sulfate,07,10uM,0.859641816,2404,VG,
Adamtsl4,MAE,2,no-UMI,BML-281,07,10uM,0.780637941,1787,VG,
Adamtsl4,MAE,2,no-UMI,Triacetylresveratrol,07,10uM,0.879802095,3438,VG,
Adamtsl4,MAE,2,no-UMI,Garcinol,07,01uM,0.876783692,4415,VG,
Adamtsl4,MAE,2,no-UMI,Splitomicin,07,01uM,0.835133599,5278,VG,
Adamtsl4,MAE,2,no-UMI,BML-210,07,01uM,0.832999332,4492,VG,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,07,01uM,0.83269962,1315,SMALL DARK,
Adamtsl4,MAE,2,no-UMI,Zebularine,07,01uM,0.865055196,5257,VG,
Adamtsl4,MAE,2,no-UMI,Tranylcypromine_hemisulfate,07,01uM,0.860635697,1227,VG,
Adamtsl4,MAE,2,no-UMI,EX-527,07,01uM,0.836781609,435,VG,
Adamtsl4,MAE,2,no-UMI,Nicotinamide,07,01uM,0.809253601,4583,VG,
Adamtsl4,MAE,2,no-UMI,BML-266,07,01uM,0.833538084,3258,VG,
Adamtsl4,MAE,2,no-UMI,Piceatannol,07,01uM,0.823700624,4811,VG,
Adamtsl4,MAE,2,no-UMI,Fluoro-SAHA,07,01uM,0.906825297,7986,VG,
Adamtsl4,MAE,2,no-UMI,AGK2,07,01uM,0.925111645,2911,VG,
Adamtsl4,MAE,2,no-UMI,Salermide,07,01uM,0.839628297,3337,VG,
Adamtsl4,MAE,2,no-UMI,Anacardic_acid,07,01uM,0.789689846,7061,VG,
Adamtsl4,MAE,2,no-UMI,B2,07,01uM,0.832549941,3404,VG,
Adamtsl4,MAE,2,no-UMI,CTPB,07,01uM,0.815895372,1988,VG,
Adamtsl4,MAE,2,no-UMI,Sirtinol,07,01uM,0.809084621,4339,VG,
Adamtsl4,MAE,2,no-UMI,Suramin6Na,07,01uM,0.874897792,1224,VG,
Adamtsl4,MAE,2,no-UMI,BML-278,07,01uM,0.5,6,VG,
Adamtsl4,MAE,2,no-UMI,CI-994,07,01uM,0.862068966,6555,VG,
Adamtsl4,MAE,2,no-UMI,NSC-3852,07,01uM,0.884508557,11164,VG,
Adamtsl4,MAE,2,no-UMI,Aminoresveratrol_sulfate,07,01uM,0.828754579,2184,VG,
Adamtsl4,MAE,2,no-UMI,BML-281,07,01uM,0.815105444,6118,VG,
Adamtsl4,MAE,2,no-UMI,Triacetylresveratrol,07,01uM,0.840576287,4234,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,No-treatment1,0.898909812,1009,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,No-treatment2,0.865771812,2533,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,No-treatment3,0.923251589,2202,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,No-treatment4,0.882829144,2351,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,No-treatment5,0.903744838,7023,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,No-treatment6,0.905778537,3513,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,No-treatment7,0.905567518,3252,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,No-treatment8,0.913841448,11769,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,No-treatment9,0.897794118,1360,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,No-treatment10,0.923216132,3868,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,No-treatment11,0.929036458,1536,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,No-treatment12,0.939597315,1192,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,DMSO1,0.878902678,7656,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,DMSO2,0.792858271,6352,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,DMSO3,0.813310285,4628,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,DMSO4,0.809375995,12565,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,DMSO5,0.857161647,15211,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,DMSO6,0.8488,6254,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,DMSO7,0.814030653,6330,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,DMSO8,0.848637356,10531,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,DMSO9,0.802780191,12662,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,DMSO10,0.853496202,12772,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,DMSO11,0.829254292,19166,VG,
Adamtsl4,MAE,2,no-UMI,Control,07,DMSO12,0.89954023,4351,VG,
Adnp2,MAE,2,no-UMI,Garcinol,07,20uM,0,1,DIFFUSE,
Adnp2,MAE,2,no-UMI,Splitomicin,07,20uM,0.007121058,983,VG,
Adnp2,MAE,2,no-UMI,BML-210,07,20uM,0.2,5,DIFFUSE,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,07,20uM,0.041666667,72,SMALL DARK SPOTS,
Adnp2,MAE,2,no-UMI,Zebularine,07,20uM,0.015243902,328,VG,
Adnp2,MAE,2,no-UMI,Tranylcypromine_hemisulfate,07,20uM,0.003984064,251,VG,
Adnp2,MAE,2,no-UMI,EX-527,07,20uM,0.018372703,382,VG,
Adnp2,MAE,2,no-UMI,Nicotinamide,07,20uM,0.007407407,1350,VG,
Adnp2,MAE,2,no-UMI,BML-266,07,20uM,NA,0,DIFFUSE,
Adnp2,MAE,2,no-UMI,Piceatannol,07,20uM,0.0625,16,DIFFUSE,
Adnp2,MAE,2,no-UMI,Fluoro-SAHA,07,20uM,0,3,DIFFUSE,
Adnp2,MAE,2,no-UMI,AGK2,07,20uM,0.028846154,832,VG,
Adnp2,MAE,2,no-UMI,Salermide,07,20uM,0.02382134,2015,VG,
Adnp2,MAE,2,no-UMI,Anacardic_acid,07,20uM,0.015300546,915,VG,
Adnp2,MAE,2,no-UMI,B2,07,20uM,0.021588946,1158,VG,
Adnp2,MAE,2,no-UMI,CTPB,07,20uM,0.038461538,728,VG,
Adnp2,MAE,2,no-UMI,Sirtinol,07,20uM,0.009421265,1486,VG,
Adnp2,MAE,2,no-UMI,Suramin6Na,07,20uM,0,369,VG,
Adnp2,MAE,2,no-UMI,BML-278,07,20uM,0.024482109,531,VG,
Adnp2,MAE,2,no-UMI,CI-994,07,20uM,0,6,DIFFUSE,
Adnp2,MAE,2,no-UMI,NSC-3852,07,20uM,0,1,DIFFUSE,
Adnp2,MAE,2,no-UMI,Aminoresveratrol_sulfate,07,20uM,0.029015544,965,VG,
Adnp2,MAE,2,no-UMI,BML-281,07,20uM,0.012898846,1473,VG,
Adnp2,MAE,2,no-UMI,Triacetylresveratrol,07,20uM,0.007215007,1386,VG,
Adnp2,MAE,2,no-UMI,Garcinol,07,10uM,0.008602151,465,VG,
Adnp2,MAE,2,no-UMI,Splitomicin,07,10uM,0.031311155,2044,VG,
Adnp2,MAE,2,no-UMI,BML-210,07,10uM,0.004721435,1059,VG,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,07,10uM,0.114942529,87,SMALL DARK  ,
Adnp2,MAE,2,no-UMI,Zebularine,07,10uM,0.007537688,398,VG,
Adnp2,MAE,2,no-UMI,Tranylcypromine_hemisulfate,07,10uM,0,195,VG,
Adnp2,MAE,2,no-UMI,EX-527,07,10uM,0.021978022,546,VG,
Adnp2,MAE,2,no-UMI,Nicotinamide,07,10uM,0.01953125,768,VG,
Adnp2,MAE,2,no-UMI,BML-266,07,10uM,NA,0,DIFFUSE,
Adnp2,MAE,2,no-UMI,Piceatannol,07,10uM,0.028215768,1205,VG,
Adnp2,MAE,2,no-UMI,Fluoro-SAHA,07,10uM,0,3,DIFFUSE,
Adnp2,MAE,2,no-UMI,AGK2,07,10uM,0.026815642,896,VG,
Adnp2,MAE,2,no-UMI,Salermide,07,10uM,0.018181818,3355,VG,
Adnp2,MAE,2,no-UMI,Anacardic_acid,07,10uM,0.011232243,3028,VG,
Adnp2,MAE,2,no-UMI,B2,07,10uM,0.014084507,2414,VG,
Adnp2,MAE,2,no-UMI,CTPB,07,10uM,0.045714286,350,VG,
Adnp2,MAE,2,no-UMI,Sirtinol,07,10uM,0.001939237,1547,VG,
Adnp2,MAE,2,no-UMI,Suramin6Na,07,10uM,0.029361702,2350,VG,
Adnp2,MAE,2,no-UMI,BML-278,07,10uM,0.015525114,1097,VG,
Adnp2,MAE,2,no-UMI,CI-994,07,10uM,0.041666667,24,DIFFUSE,
Adnp2,MAE,2,no-UMI,NSC-3852,07,10uM,0,3,M,
Adnp2,MAE,2,no-UMI,Aminoresveratrol_sulfate,07,10uM,0.038554217,1661,VG,
Adnp2,MAE,2,no-UMI,BML-281,07,10uM,0.013291634,1279,VG,
Adnp2,MAE,2,no-UMI,Triacetylresveratrol,07,10uM,0.009987516,2403,VG,
Adnp2,MAE,2,no-UMI,Garcinol,07,01uM,0.002688172,2976,VG,
Adnp2,MAE,2,no-UMI,Splitomicin,07,01uM,0.016,4125,VG,
Adnp2,MAE,2,no-UMI,BML-210,07,01uM,0.007073089,2969,VG,
Adnp2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,07,01uM,0.001468429,681,SMALL DARK,
Adnp2,MAE,2,no-UMI,Zebularine,07,01uM,0.011730205,3411,VG,
Adnp2,MAE,2,no-UMI,Tranylcypromine_hemisulfate,07,01uM,0.010738255,746,VG,
Adnp2,MAE,2,no-UMI,EX-527,07,01uM,0,383,VG,
Adnp2,MAE,2,no-UMI,Nicotinamide,07,01uM,0.016144975,3036,VG,
Adnp2,MAE,2,no-UMI,BML-266,07,01uM,0.001710864,2338,VG,
Adnp2,MAE,2,no-UMI,Piceatannol,07,01uM,0.025065104,3072,VG,
Adnp2,MAE,2,no-UMI,Fluoro-SAHA,07,01uM,0.031578947,2755,VG,
Adnp2,MAE,2,no-UMI,AGK2,07,01uM,0.016763848,1372,VG,
Adnp2,MAE,2,no-UMI,Salermide,07,01uM,0.015429122,2074,VG,
Adnp2,MAE,2,no-UMI,Anacardic_acid,07,01uM,0.010351563,5120,VG,
Adnp2,MAE,2,no-UMI,B2,07,01uM,0.000931532,2147,VG,
Adnp2,MAE,2,no-UMI,CTPB,07,01uM,0.016260163,1108,VG,
Adnp2,MAE,2,no-UMI,Sirtinol,07,01uM,0.009481316,3586,VG,
Adnp2,MAE,2,no-UMI,Suramin6Na,07,01uM,0.002702703,740,VG,
Adnp2,MAE,2,no-UMI,BML-278,07,01uM,0,4,VG,
Adnp2,MAE,2,no-UMI,CI-994,07,01uM,0.011490479,3046,VG,
Adnp2,MAE,2,no-UMI,NSC-3852,07,01uM,0.012240924,7190,VG,
Adnp2,MAE,2,no-UMI,Aminoresveratrol_sulfate,07,01uM,0.002838893,1409,VG,
Adnp2,MAE,2,no-UMI,BML-281,07,01uM,0.019996079,5101,VG,
Adnp2,MAE,2,no-UMI,Triacetylresveratrol,07,01uM,0.018209408,2638,VG,
Adnp2,MAE,2,no-UMI,Control,07,No-treatment1,0.01734104,346,VG,
Adnp2,MAE,2,no-UMI,Control,07,No-treatment2,0.007561437,1058,VG,
Adnp2,MAE,2,no-UMI,Control,07,No-treatment3,0.013205282,833,VG,
Adnp2,MAE,2,no-UMI,Control,07,No-treatment4,0.034663866,952,VG,
Adnp2,MAE,2,no-UMI,Control,07,No-treatment5,0.000968679,3098,VG,
Adnp2,MAE,2,no-UMI,Control,07,No-treatment6,0.018776078,1439,VG,
Adnp2,MAE,2,no-UMI,Control,07,No-treatment7,0.01156515,1297,VG,
Adnp2,MAE,2,no-UMI,Control,07,No-treatment8,0.00879567,4434,VG,
Adnp2,MAE,2,no-UMI,Control,07,No-treatment9,0,618,VG,
Adnp2,MAE,2,no-UMI,Control,07,No-treatment10,0.007147111,1679,VG,
Adnp2,MAE,2,no-UMI,Control,07,No-treatment11,0.022132797,497,VG,
Adnp2,MAE,2,no-UMI,Control,07,No-treatment12,0.018947368,475,VG,
Adnp2,MAE,2,no-UMI,Control,07,DMSO1,0.015028902,4326,VG,
Adnp2,MAE,2,no-UMI,Control,07,DMSO2,0.014587892,4113,VG,
Adnp2,MAE,2,no-UMI,Control,07,DMSO3,0.020662768,2565,VG,
Adnp2,MAE,2,no-UMI,Control,07,DMSO4,0.016873999,8120,VG,
Adnp2,MAE,2,no-UMI,Control,07,DMSO5,0.000123092,8125,VG,
Adnp2,MAE,2,no-UMI,Control,07,DMSO6,0.008609775,3949,VG,
Adnp2,MAE,2,no-UMI,Control,07,DMSO7,0.033627884,4074,VG,
Adnp2,MAE,2,no-UMI,Control,07,DMSO8,0.009405155,8188,VG,
Adnp2,MAE,2,no-UMI,Control,07,DMSO9,0.013336688,7948,VG,
Adnp2,MAE,2,no-UMI,Control,07,DMSO10,0.009045966,9507,VG,
Adnp2,MAE,2,no-UMI,Control,07,DMSO11,0.017408833,10914,VG,
Adnp2,MAE,2,no-UMI,Control,07,DMSO12,0.021461421,1959,VG,
Afap1,MAE,2,no-UMI,Garcinol,07,20uM,0,1,DIFFUSE,
Afap1,MAE,2,no-UMI,Splitomicin,07,20uM,0.036061026,723,VG,
Afap1,MAE,2,no-UMI,BML-210,07,20uM,0,2,DIFFUSE,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,07,20uM,0.094017094,117,SMALL DARK SPOTS,
Afap1,MAE,2,no-UMI,Zebularine,07,20uM,0.032911392,395,VG,
Afap1,MAE,2,no-UMI,Tranylcypromine_hemisulfate,07,20uM,0.078212291,179,VG,
Afap1,MAE,2,no-UMI,EX-527,07,20uM,0.003831418,262,VG,
Afap1,MAE,2,no-UMI,Nicotinamide,07,20uM,0.042839657,818,VG,
Afap1,MAE,2,no-UMI,BML-266,07,20uM,0,1,DIFFUSE,
Afap1,MAE,2,no-UMI,Piceatannol,07,20uM,0.034482759,29,DIFFUSE,
Afap1,MAE,2,no-UMI,Fluoro-SAHA,07,20uM,NA,0,DIFFUSE,
Afap1,MAE,2,no-UMI,AGK2,07,20uM,0.022900763,393,VG,
Afap1,MAE,2,no-UMI,Salermide,07,20uM,0.013513514,1556,VG,
Afap1,MAE,2,no-UMI,Anacardic_acid,07,20uM,0.052941176,682,VG,
Afap1,MAE,2,no-UMI,B2,07,20uM,0.031536114,985,VG,
Afap1,MAE,2,no-UMI,CTPB,07,20uM,0.040752351,638,VG,
Afap1,MAE,2,no-UMI,Sirtinol,07,20uM,0.059061489,1236,VG,
Afap1,MAE,2,no-UMI,Suramin6Na,07,20uM,0.025,322,VG,
Afap1,MAE,2,no-UMI,BML-278,07,20uM,0.009259259,324,VG,
Afap1,MAE,2,no-UMI,CI-994,07,20uM,0,5,DIFFUSE,
Afap1,MAE,2,no-UMI,NSC-3852,07,20uM,0,1,DIFFUSE,
Afap1,MAE,2,no-UMI,Aminoresveratrol_sulfate,07,20uM,0.045833333,721,VG,
Afap1,MAE,2,no-UMI,BML-281,07,20uM,0.039888683,1080,VG,
Afap1,MAE,2,no-UMI,Triacetylresveratrol,07,20uM,0.029370629,716,VG,
Afap1,MAE,2,no-UMI,Garcinol,07,10uM,0.044817927,358,VG,
Afap1,MAE,2,no-UMI,Splitomicin,07,10uM,0.058530511,1606,VG,
Afap1,MAE,2,no-UMI,BML-210,07,10uM,0.034653465,1011,VG,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,07,10uM,0,113,SMALL DARK  ,
Afap1,MAE,2,no-UMI,Zebularine,07,10uM,0.07028754,313,VG,
Afap1,MAE,2,no-UMI,Tranylcypromine_hemisulfate,07,10uM,0.03030303,165,VG,
Afap1,MAE,2,no-UMI,EX-527,07,10uM,0.042183623,403,VG,
Afap1,MAE,2,no-UMI,Nicotinamide,07,10uM,0.023622047,508,VG,
Afap1,MAE,2,no-UMI,BML-266,07,10uM,NA,0,DIFFUSE,
Afap1,MAE,2,no-UMI,Piceatannol,07,10uM,0.02422611,745,VG,
Afap1,MAE,2,no-UMI,Fluoro-SAHA,07,10uM,0,1,DIFFUSE,
Afap1,MAE,2,no-UMI,AGK2,07,10uM,0.034608379,549,VG,
Afap1,MAE,2,no-UMI,Salermide,07,10uM,0.057471264,2090,VG,
Afap1,MAE,2,no-UMI,Anacardic_acid,07,10uM,0.031719533,2401,VG,
Afap1,MAE,2,no-UMI,B2,07,10uM,0.021877849,2198,VG,
Afap1,MAE,2,no-UMI,CTPB,07,10uM,0.020618557,291,VG,
Afap1,MAE,2,no-UMI,Sirtinol,07,10uM,0.034904014,1149,VG,
Afap1,MAE,2,no-UMI,Suramin6Na,07,10uM,0.046535154,1979,VG,
Afap1,MAE,2,no-UMI,BML-278,07,10uM,0.023217247,604,VG,
Afap1,MAE,2,no-UMI,CI-994,07,10uM,0.045454545,22,DIFFUSE,
Afap1,MAE,2,no-UMI,NSC-3852,07,10uM,0,5,M,
Afap1,MAE,2,no-UMI,Aminoresveratrol_sulfate,07,10uM,0.056227758,1405,VG,
Afap1,MAE,2,no-UMI,BML-281,07,10uM,0.05861244,837,VG,
Afap1,MAE,2,no-UMI,Triacetylresveratrol,07,10uM,0.012019231,1669,VG,
Afap1,MAE,2,no-UMI,Garcinol,07,01uM,0.028620989,2308,VG,
Afap1,MAE,2,no-UMI,Splitomicin,07,01uM,0.049245433,3779,VG,
Afap1,MAE,2,no-UMI,BML-210,07,01uM,0.034042553,2822,VG,
Afap1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,07,01uM,0.072490706,539,SMALL DARK,
Afap1,MAE,2,no-UMI,Zebularine,07,01uM,0.049839801,2813,VG,
Afap1,MAE,2,no-UMI,Tranylcypromine_hemisulfate,07,01uM,0.102345416,941,VG,
Afap1,MAE,2,no-UMI,EX-527,07,01uM,0.028846154,208,VG,
Afap1,MAE,2,no-UMI,Nicotinamide,07,01uM,0.078293135,2698,VG,
Afap1,MAE,2,no-UMI,BML-266,07,01uM,0.027979855,1790,VG,
Afap1,MAE,2,no-UMI,Piceatannol,07,01uM,0.036442516,2310,VG,
Afap1,MAE,2,no-UMI,Fluoro-SAHA,07,01uM,0.014925373,1811,VG,
Afap1,MAE,2,no-UMI,AGK2,07,01uM,0.058990357,1767,VG,
Afap1,MAE,2,no-UMI,Salermide,07,01uM,0.014483213,1519,VG,
Afap1,MAE,2,no-UMI,Anacardic_acid,07,01uM,0.04587156,3712,VG,
Afap1,MAE,2,no-UMI,B2,07,01uM,0.049758454,2073,VG,
Afap1,MAE,2,no-UMI,CTPB,07,01uM,0.029484029,1224,VG,
Afap1,MAE,2,no-UMI,Sirtinol,07,01uM,0.025688073,2730,VG,
Afap1,MAE,2,no-UMI,Suramin6Na,07,01uM,0.030434783,690,VG,
Afap1,MAE,2,no-UMI,BML-278,07,01uM,0,8,VG,
Afap1,MAE,2,no-UMI,CI-994,07,01uM,0.060456274,2633,VG,
Afap1,MAE,2,no-UMI,NSC-3852,07,01uM,0.049819687,7499,VG,
Afap1,MAE,2,no-UMI,Aminoresveratrol_sulfate,07,01uM,0.0984,1251,VG,
Afap1,MAE,2,no-UMI,BML-281,07,01uM,0.057751427,4556,VG,
Afap1,MAE,2,no-UMI,Triacetylresveratrol,07,01uM,0.086909871,1865,VG,
Afap1,MAE,2,no-UMI,Control,07,No-treatment1,0.048076923,208,VG,
Afap1,MAE,2,no-UMI,Control,07,No-treatment2,0.039669421,605,VG,
Afap1,MAE,2,no-UMI,Control,07,No-treatment3,0.092307692,585,VG,
Afap1,MAE,2,no-UMI,Control,07,No-treatment4,0.074418605,645,VG,
Afap1,MAE,2,no-UMI,Control,07,No-treatment5,0.117142857,1753,VG,
Afap1,MAE,2,no-UMI,Control,07,No-treatment6,0.090694935,849,VG,
Afap1,MAE,2,no-UMI,Control,07,No-treatment7,0.046321526,734,VG,
Afap1,MAE,2,no-UMI,Control,07,No-treatment8,0.042954767,3076,VG,
Afap1,MAE,2,no-UMI,Control,07,No-treatment9,0.135646688,318,VG,
Afap1,MAE,2,no-UMI,Control,07,No-treatment10,0.118742724,860,VG,
Afap1,MAE,2,no-UMI,Control,07,No-treatment11,0.047887324,355,VG,
Afap1,MAE,2,no-UMI,Control,07,No-treatment12,0.055737705,307,VG,
Afap1,MAE,2,no-UMI,Control,07,DMSO1,0.038942976,3597,VG,
Afap1,MAE,2,no-UMI,Control,07,DMSO2,0.054820416,3176,VG,
Afap1,MAE,2,no-UMI,Control,07,DMSO3,0.014184397,1834,VG,
Afap1,MAE,2,no-UMI,Control,07,DMSO4,0.084231146,6132,VG,
Afap1,MAE,2,no-UMI,Control,07,DMSO5,0.035209054,6370,VG,
Afap1,MAE,2,no-UMI,Control,07,DMSO6,0.05326087,2762,VG,
Afap1,MAE,2,no-UMI,Control,07,DMSO7,0.068954855,3235,VG,
Afap1,MAE,2,no-UMI,Control,07,DMSO8,0.009113924,5929,VG,
Afap1,MAE,2,no-UMI,Control,07,DMSO9,0.040585366,5133,VG,
Afap1,MAE,2,no-UMI,Control,07,DMSO10,0.059652573,6106,VG,
Afap1,MAE,2,no-UMI,Control,07,DMSO11,0.024795349,8441,VG,
Afap1,MAE,2,no-UMI,Control,07,DMSO12,0.031826862,1571,VG,
Casd1,MAE,2,no-UMI,Garcinol,07,20uM,0,2,DIFFUSE,
Casd1,MAE,2,no-UMI,Splitomicin,07,20uM,0.00369174,2167,VG,
Casd1,MAE,2,no-UMI,BML-210,07,20uM,0,6,DIFFUSE,
Casd1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,07,20uM,0,131,SMALL DARK SPOTS,
Casd1,MAE,2,no-UMI,Zebularine,07,20uM,0.006122449,490,VG,
Casd1,MAE,2,no-UMI,Tranylcypromine_hemisulfate,07,20uM,0.001811594,552,VG,
Casd1,MAE,2,no-UMI,EX-527,07,20uM,0,793,VG,
Casd1,MAE,2,no-UMI,Nicotinamide,07,20uM,0.001568874,3188,VG,
Casd1,MAE,2,no-UMI,BML-266,07,20uM,NA,0,DIFFUSE,
Casd1,MAE,2,no-UMI,Piceatannol,07,20uM,0,2,DIFFUSE,
Casd1,MAE,2,no-UMI,Fluoro-SAHA,07,20uM,0,7,DIFFUSE,
Casd1,MAE,2,no-UMI,AGK2,07,20uM,0.006385696,1568,VG,
Casd1,MAE,2,no-UMI,Salermide,07,20uM,0.004648887,4087,VG,
Casd1,MAE,2,no-UMI,Anacardic_acid,07,20uM,0.010061242,2287,VG,
Casd1,MAE,2,no-UMI,B2,07,20uM,0.002953119,2709,VG,
Casd1,MAE,2,no-UMI,CTPB,07,20uM,0.001008573,1983,VG,
Casd1,MAE,2,no-UMI,Sirtinol,07,20uM,0.004526462,2873,VG,
Casd1,MAE,2,no-UMI,Suramin6Na,07,20uM,0.002192982,912,VG,
Casd1,MAE,2,no-UMI,BML-278,07,20uM,0.002059732,971,VG,
Casd1,MAE,2,no-UMI,CI-994,07,20uM,0,12,DIFFUSE,
Casd1,MAE,2,no-UMI,NSC-3852,07,20uM,0,2,DIFFUSE,
Casd1,MAE,2,no-UMI,Aminoresveratrol_sulfate,07,20uM,0.007208388,1526,VG,
Casd1,MAE,2,no-UMI,BML-281,07,20uM,0.001340034,2987,VG,
Casd1,MAE,2,no-UMI,Triacetylresveratrol,07,20uM,0.006719866,2382,VG,
Casd1,MAE,2,no-UMI,Garcinol,07,10uM,0.003134796,957,VG,
Casd1,MAE,2,no-UMI,Splitomicin,07,10uM,0.003391747,3539,VG,
